track,proj,blk,stk,dist,reg,ten,floor,date,base_sqft,ph_sqft,extra,extra_pct,n_base,base_price,ph_price,base_psf,ph_psf,void_psf,ratio,headline_drop
newsale,33 RESIDENCES,33 LORONG 30 GEYLANG,05,14,Central Region,FH,8,2018-06-17,797,1033,237,0.297,5,1286545,1548000,1615,1498,1104,0.6836,-0.0725
newsale,35 GILSTEAD,35 GILSTEAD ROAD,05,11,Central Region,FH,5,2022-01-12,926,1066,140,0.151,4,2484792,2627000,2684,2465,1016,0.3786,-0.0816
newsale,35 GILSTEAD,35 GILSTEAD ROAD,07,11,Central Region,FH,5,2019-11-01,1012,1249,237,0.234,3,2609356,2923000,2579,2341,1325,0.5136,-0.0922
newsale,35 GILSTEAD,35 GILSTEAD ROAD,12,11,Central Region,FH,5,2019-11-01,1012,1249,237,0.234,3,2628708,2923000,2598,2341,1243,0.4784,-0.0989
newsale,38 JERVOIS,38 JERVOIS ROAD,03,10,Central Region,FH,5,2018-06-19,474,700,226,0.477,3,1148477,1610899,2425,2302,2046,0.8436,-0.0505
newsale,6 DERBYSHIRE,6 DERBYSHIRE ROAD,03,11,Central Region,FH,29,2016-04-21,732,1130,398,0.544,13,1627080,2260000,2223,2000,1589,0.7149,-0.1005
newsale,8 SAINT THOMAS,8 ST. THOMAS WALK,02,09,Central Region,FH,23,2018-08-25,441,549,108,0.244,7,1518980,1825000,3442,3324,2843,0.826,-0.0341
newsale,8@BT,8 BUKIT TIMAH LINK,06,21,Central Region,LH,16,2024-09-21,517,624,108,0.208,9,1529840,1860000,2961,2979,3067,1.0359,0.0062
newsale,AFFINITY AT SERANGOON,18 SERANGOON NORTH AVENUE 1,01,19,North East Region,LH,14,2021-07-21,1152,1722,570,0.495,3,1709655,2722000,1484,1580,1775,1.1954,0.0647
newsale,AFFINITY AT SERANGOON,18 SERANGOON NORTH AVENUE 1,05,19,North East Region,LH,14,2021-08-15,1410,1668,258,0.183,9,2273040,2400000,1612,1438,491,0.3049,-0.1076
newsale,AFFINITY AT SERANGOON,18 SERANGOON NORTH AVENUE 1,06,19,North East Region,LH,14,2021-09-25,850,958,108,0.127,3,1428400,1556000,1680,1624,1185,0.7057,-0.0331
newsale,AFFINITY AT SERANGOON,20 SERANGOON NORTH AVENUE 1,11,19,North East Region,LH,14,2021-04-09,1152,1722,570,0.495,6,1805426,2602880,1568,1511,1398,0.8917,-0.0359
newsale,AFFINITY AT SERANGOON,20 SERANGOON NORTH AVENUE 1,12,19,North East Region,LH,13,2021-01-23,474,560,86,0.182,10,803288,819112,1696,1463,184,0.1083,-0.1372
newsale,AFFINITY AT SERANGOON,20 SERANGOON NORTH AVENUE 1,15,19,North East Region,LH,14,2021-06-25,1453,1711,258,0.178,7,2295776,2453220,1580,1433,609,0.3858,-0.0927
newsale,AFFINITY AT SERANGOON,20 SERANGOON NORTH AVENUE 1,16,19,North East Region,LH,14,2021-09-21,850,958,108,0.127,12,1428802,1613000,1680,1684,1711,1.0185,0.0021
newsale,AFFINITY AT SERANGOON,22 SERANGOON NORTH AVENUE 1,22,19,North East Region,LH,13,2019-09-30,474,560,86,0.182,12,726918,753000,1535,1345,303,0.1973,-0.1235
newsale,AFFINITY AT SERANGOON,22 SERANGOON NORTH AVENUE 1,25,19,North East Region,LH,14,2022-03-14,1453,1711,258,0.178,9,2325096,2403575,1600,1404,304,0.1899,-0.1223
newsale,AFFINITY AT SERANGOON,24 SERANGOON NORTH AVENUE 1,32,19,North East Region,LH,14,2020-02-16,1076,1249,172,0.16,11,1617200,1688000,1502,1352,411,0.2736,-0.1002
newsale,AFFINITY AT SERANGOON,24 SERANGOON NORTH AVENUE 1,42,19,North East Region,LH,14,2021-10-03,850,958,108,0.127,9,1362100,1539000,1602,1606,1643,1.026,0.0029
newsale,AFFINITY AT SERANGOON,26 SERANGOON NORTH AVENUE 1,44,19,North East Region,LH,13,2020-07-07,474,560,86,0.182,12,771072,791010,1628,1413,232,0.1422,-0.132
newsale,AFFINITY AT SERANGOON,26 SERANGOON NORTH AVENUE 1,47,19,North East Region,LH,14,2018-08-02,1076,1249,172,0.16,9,1629320,1628000,1514,1304,-8,-0.0051,-0.1386
newsale,AFFINITY AT SERANGOON,26 SERANGOON NORTH AVENUE 1,53,19,North East Region,LH,14,2021-07-27,904,1012,108,0.119,7,1388464,1433961,1536,1417,423,0.2753,-0.0771
newsale,AFFINITY AT SERANGOON,28 SERANGOON NORTH AVENUE 1,55,19,North East Region,LH,13,2021-01-26,474,560,86,0.182,3,810432,842112,1711,1504,368,0.215,-0.1208
newsale,AFFINITY AT SERANGOON,28 SERANGOON NORTH AVENUE 1,58,19,North East Region,LH,14,2018-06-02,1076,1249,172,0.16,9,1683708,1842000,1564,1475,919,0.5876,-0.0569
